config_id,componente,eixo,lado,rodado,posicao_tipo,position_id
4x2,T,1,L,S,direcao,T-E1-L
4x2,T,1,R,S,direcao,T-E1-R
4x2,T,2,L,IN,tracao,T-E2-L-IN
4x2,T,2,L,EX,tracao,T-E2-L-EX
4x2,T,2,R,IN,tracao,T-E2-R-IN
4x2,T,2,R,EX,tracao,T-E2-R-EX
6x2_tag_singelo,T,1,L,S,direcao,T-E1-L
6x2_tag_singelo,T,1,R,S,direcao,T-E1-R
6x2_tag_singelo,T,2,L,IN,tracao,T-E2-L-IN
6x2_tag_singelo,T,2,L,EX,tracao,T-E2-L-EX
6x2_tag_singelo,T,2,R,IN,tracao,T-E2-R-IN
6x2_tag_singelo,T,2,R,EX,tracao,T-E2-R-EX
6x2_tag_singelo,T,3,L,S,auxiliar,T-E3-L
6x2_tag_singelo,T,3,R,S,auxiliar,T-E3-R
6x2_tag_duplo,T,1,L,S,direcao,T-E1-L
6x2_tag_duplo,T,1,R,S,direcao,T-E1-R
6x2_tag_duplo,T,2,L,IN,tracao,T-E2-L-IN
6x2_tag_duplo,T,2,L,EX,tracao,T-E2-L-EX
6x2_tag_duplo,T,2,R,IN,tracao,T-E2-R-IN
6x2_tag_duplo,T,2,R,EX,tracao,T-E2-R-EX
6x2_tag_duplo,T,3,L,IN,auxiliar,T-E3-L-IN
6x2_tag_duplo,T,3,L,EX,auxiliar,T-E3-L-EX
6x2_tag_duplo,T,3,R,IN,auxiliar,T-E3-R-IN
6x2_tag_duplo,T,3,R,EX,auxiliar,T-E3-R-EX
6x4,T,1,L,S,direcao,T-E1-L
6x4,T,1,R,S,direcao,T-E1-R
6x4,T,2,L,IN,tracao,T-E2-L-IN
6x4,T,2,L,EX,tracao,T-E2-L-EX
6x4,T,2,R,IN,tracao,T-E2-R-IN
6x4,T,2,R,EX,tracao,T-E2-R-EX
6x4,T,3,L,IN,tracao,T-E3-L-IN
6x4,T,3,L,EX,tracao,T-E3-L-EX
6x4,T,3,R,IN,tracao,T-E3-R-IN
6x4,T,3,R,EX,tracao,T-E3-R-EX
8x2_rigido,R,1,L,S,direcao,R-E1-L
8x2_rigido,R,1,R,S,direcao,R-E1-R
8x2_rigido,R,2,L,S,direcao,R-E2-L
8x2_rigido,R,2,R,S,direcao,R-E2-R
8x2_rigido,R,3,L,IN,tracao,R-E3-L-IN
8x2_rigido,R,3,L,EX,tracao,R-E3-L-EX
8x2_rigido,R,3,R,IN,tracao,R-E3-R-IN
8x2_rigido,R,3,R,EX,tracao,R-E3-R-EX
8x2_rigido,R,4,L,S,auxiliar,R-E4-L
8x2_rigido,R,4,R,S,auxiliar,R-E4-R
8x4_rigido,R,1,L,S,direcao,R-E1-L
8x4_rigido,R,1,R,S,direcao,R-E1-R
8x4_rigido,R,2,L,S,direcao,R-E2-L
8x4_rigido,R,2,R,S,direcao,R-E2-R
8x4_rigido,R,3,L,IN,tracao,R-E3-L-IN
8x4_rigido,R,3,L,EX,tracao,R-E3-L-EX
8x4_rigido,R,3,R,IN,tracao,R-E3-R-IN
8x4_rigido,R,3,R,EX,tracao,R-E3-R-EX
8x4_rigido,R,4,L,IN,tracao,R-E4-L-IN
8x4_rigido,R,4,L,EX,tracao,R-E4-L-EX
8x4_rigido,R,4,R,IN,tracao,R-E4-R-IN
8x4_rigido,R,4,R,EX,tracao,R-E4-R-EX
SR2,SR1,1,L,IN,sr,SR1-E1-L-IN
SR2,SR1,1,L,EX,sr,SR1-E1-L-EX
SR2,SR1,1,R,IN,sr,SR1-E1-R-IN
SR2,SR1,1,R,EX,sr,SR1-E1-R-EX
SR2,SR1,2,L,IN,sr,SR1-E2-L-IN
SR2,SR1,2,L,EX,sr,SR1-E2-L-EX
SR2,SR1,2,R,IN,sr,SR1-E2-R-IN
SR2,SR1,2,R,EX,sr,SR1-E2-R-EX
SR3,SR1,1,L,IN,sr,SR1-E1-L-IN
SR3,SR1,1,L,EX,sr,SR1-E1-L-EX
SR3,SR1,1,R,IN,sr,SR1-E1-R-IN
SR3,SR1,1,R,EX,sr,SR1-E1-R-EX
SR3,SR1,2,L,IN,sr,SR1-E2-L-IN
SR3,SR1,2,L,EX,sr,SR1-E2-L-EX
SR3,SR1,2,R,IN,sr,SR1-E2-R-IN
SR3,SR1,2,R,EX,sr,SR1-E2-R-EX
SR3,SR1,3,L,IN,sr,SR1-E3-L-IN
SR3,SR1,3,L,EX,sr,SR1-E3-L-EX
SR3,SR1,3,R,IN,sr,SR1-E3-R-IN
SR3,SR1,3,R,EX,sr,SR1-E3-R-EX
BITREM_7EIXOS_6x2,T,1,L,S,direcao,T-E1-L
BITREM_7EIXOS_6x2,T,1,R,S,direcao,T-E1-R
BITREM_7EIXOS_6x2,T,2,L,IN,tracao,T-E2-L-IN
BITREM_7EIXOS_6x2,T,2,L,EX,tracao,T-E2-L-EX
BITREM_7EIXOS_6x2,T,2,R,IN,tracao,T-E2-R-IN
BITREM_7EIXOS_6x2,T,2,R,EX,tracao,T-E2-R-EX
BITREM_7EIXOS_6x2,T,3,L,S,auxiliar,T-E3-L
BITREM_7EIXOS_6x2,T,3,R,S,auxiliar,T-E3-R
BITREM_7EIXOS_6x2,SR1,1,L,IN,sr,SR1-E1-L-IN
BITREM_7EIXOS_6x2,SR1,1,L,EX,sr,SR1-E1-L-EX
BITREM_7EIXOS_6x2,SR1,1,R,IN,sr,SR1-E1-R-IN
BITREM_7EIXOS_6x2,SR1,1,R,EX,sr,SR1-E1-R-EX
BITREM_7EIXOS_6x2,SR1,2,L,IN,sr,SR1-E2-L-IN
BITREM_7EIXOS_6x2,SR1,2,L,EX,sr,SR1-E2-L-EX
BITREM_7EIXOS_6x2,SR1,2,R,IN,sr,SR1-E2-R-IN
BITREM_7EIXOS_6x2,SR1,2,R,EX,sr,SR1-E2-R-EX
BITREM_7EIXOS_6x2,SR2,1,L,IN,sr,SR2-E1-L-IN
BITREM_7EIXOS_6x2,SR2,1,L,EX,sr,SR2-E1-L-EX
BITREM_7EIXOS_6x2,SR2,1,R,IN,sr,SR2-E1-R-IN
BITREM_7EIXOS_6x2,SR2,1,R,EX,sr,SR2-E1-R-EX
BITREM_7EIXOS_6x2,SR2,2,L,IN,sr,SR2-E2-L-IN
BITREM_7EIXOS_6x2,SR2,2,L,EX,sr,SR2-E2-L-EX
BITREM_7EIXOS_6x2,SR2,2,R,IN,sr,SR2-E2-R-IN
BITREM_7EIXOS_6x2,SR2,2,R,EX,sr,SR2-E2-R-EX
BITREM_7EIXOS_6x4,T,1,L,S,direcao,T-E1-L
BITREM_7EIXOS_6x4,T,1,R,S,direcao,T-E1-R
BITREM_7EIXOS_6x4,T,2,L,IN,tracao,T-E2-L-IN
BITREM_7EIXOS_6x4,T,2,L,EX,tracao,T-E2-L-EX
BITREM_7EIXOS_6x4,T,2,R,IN,tracao,T-E2-R-IN
BITREM_7EIXOS_6x4,T,2,R,EX,tracao,T-E2-R-EX
BITREM_7EIXOS_6x4,T,3,L,IN,tracao,T-E3-L-IN
BITREM_7EIXOS_6x4,T,3,L,EX,tracao,T-E3-L-EX
BITREM_7EIXOS_6x4,T,3,R,IN,tracao,T-E3-R-IN
BITREM_7EIXOS_6x4,T,3,R,EX,tracao,T-E3-R-EX
BITREM_7EIXOS_6x4,SR1,1,L,IN,sr,SR1-E1-L-IN
BITREM_7EIXOS_6x4,SR1,1,L,EX,sr,SR1-E1-L-EX
BITREM_7EIXOS_6x4,SR1,1,R,IN,sr,SR1-E1-R-IN
BITREM_7EIXOS_6x4,SR1,1,R,EX,sr,SR1-E1-R-EX
BITREM_7EIXOS_6x4,SR1,2,L,IN,sr,SR1-E2-L-IN
BITREM_7EIXOS_6x4,SR1,2,L,EX,sr,SR1-E2-L-EX
BITREM_7EIXOS_6x4,SR1,2,R,IN,sr,SR1-E2-R-IN
BITREM_7EIXOS_6x4,SR1,2,R,EX,sr,SR1-E2-R-EX
BITREM_7EIXOS_6x4,SR2,1,L,IN,sr,SR2-E1-L-IN
BITREM_7EIXOS_6x4,SR2,1,L,EX,sr,SR2-E1-L-EX
BITREM_7EIXOS_6x4,SR2,1,R,IN,sr,SR2-E1-R-IN
BITREM_7EIXOS_6x4,SR2,1,R,EX,sr,SR2-E1-R-EX
BITREM_7EIXOS_6x4,SR2,2,L,IN,sr,SR2-E2-L-IN
BITREM_7EIXOS_6x4,SR2,2,L,EX,sr,SR2-E2-L-EX
BITREM_7EIXOS_6x4,SR2,2,R,IN,sr,SR2-E2-R-IN
BITREM_7EIXOS_6x4,SR2,2,R,EX,sr,SR2-E2-R-EX
RODOTREM_9EIXOS_6x2,T,1,L,S,direcao,T-E1-L
RODOTREM_9EIXOS_6x2,T,1,R,S,direcao,T-E1-R
RODOTREM_9EIXOS_6x2,T,2,L,IN,tracao,T-E2-L-IN
RODOTREM_9EIXOS_6x2,T,2,L,EX,tracao,T-E2-L-EX
RODOTREM_9EIXOS_6x2,T,2,R,IN,tracao,T-E2-R-IN
RODOTREM_9EIXOS_6x2,T,2,R,EX,tracao,T-E2-R-EX
RODOTREM_9EIXOS_6x2,T,3,L,S,auxiliar,T-E3-L
RODOTREM_9EIXOS_6x2,T,3,R,S,auxiliar,T-E3-R
RODOTREM_9EIXOS_6x2,DOL,1,L,IN,dolly,DOL-E1-L-IN
RODOTREM_9EIXOS_6x2,DOL,1,L,EX,dolly,DOL-E1-L-EX
RODOTREM_9EIXOS_6x2,DOL,1,R,IN,dolly,DOL-E1-R-IN
RODOTREM_9EIXOS_6x2,DOL,1,R,EX,dolly,DOL-E1-R-EX
RODOTREM_9EIXOS_6x2,DOL,2,L,IN,dolly,DOL-E2-L-IN
RODOTREM_9EIXOS_6x2,DOL,2,L,EX,dolly,DOL-E2-L-EX
RODOTREM_9EIXOS_6x2,DOL,2,R,IN,dolly,DOL-E2-R-IN
RODOTREM_9EIXOS_6x2,DOL,2,R,EX,dolly,DOL-E2-R-EX
RODOTREM_9EIXOS_6x2,SR1,1,L,IN,sr,SR1-E1-L-IN
RODOTREM_9EIXOS_6x2,SR1,1,L,EX,sr,SR1-E1-L-EX
RODOTREM_9EIXOS_6x2,SR1,1,R,IN,sr,SR1-E1-R-IN
RODOTREM_9EIXOS_6x2,SR1,1,R,EX,sr,SR1-E1-R-EX
RODOTREM_9EIXOS_6x2,SR1,2,L,IN,sr,SR1-E2-L-IN
RODOTREM_9EIXOS_6x2,SR1,2,L,EX,sr,SR1-E2-L-EX
RODOTREM_9EIXOS_6x2,SR1,2,R,IN,sr,SR1-E2-R-IN
RODOTREM_9EIXOS_6x2,SR1,2,R,EX,sr,SR1-E2-R-EX
RODOTREM_9EIXOS_6x2,SR2,1,L,IN,sr,SR2-E1-L-IN
RODOTREM_9EIXOS_6x2,SR2,1,L,EX,sr,SR2-E1-L-EX
RODOTREM_9EIXOS_6x2,SR2,1,R,IN,sr,SR2-E1-R-IN
RODOTREM_9EIXOS_6x2,SR2,1,R,EX,sr,SR2-E1-R-EX
RODOTREM_9EIXOS_6x2,SR2,2,L,IN,sr,SR2-E2-L-IN
RODOTREM_9EIXOS_6x2,SR2,2,L,EX,sr,SR2-E2-L-EX
RODOTREM_9EIXOS_6x2,SR2,2,R,IN,sr,SR2-E2-R-IN
RODOTREM_9EIXOS_6x2,SR2,2,R,EX,sr,SR2-E2-R-EX
RODOTREM_9EIXOS_6x4,T,1,L,S,direcao,T-E1-L
RODOTREM_9EIXOS_6x4,T,1,R,S,direcao,T-E1-R
RODOTREM_9EIXOS_6x4,T,2,L,IN,tracao,T-E2-L-IN
RODOTREM_9EIXOS_6x4,T,2,L,EX,tracao,T-E2-L-EX
RODOTREM_9EIXOS_6x4,T,2,R,IN,tracao,T-E2-R-IN
RODOTREM_9EIXOS_6x4,T,2,R,EX,tracao,T-E2-R-EX
