linha,modelo,medida,ply_rating,aro_recomendado,indice_carga,indice_velocidade,largura_banda_mm,largura_secao_mm,profundidade_sulco_mm,diametro_externo_mm,pressao_max_psi,fonte,li_single_num,li_dual_num,linha_canonica
TBR,ECOPLUS,295/80R22.5,18PR,9.0,3550/3250,L,,,15.0,1050,131,https://xbri.com/products/detail/2,152,149,ECOPLUS
TBR,ECOPLUS,315/80R22.5,18PR,9.0,3750/3450,M,,,15.5,1076,120,https://xbri.com/products/detail/2,154,151,ECOPLUS
TBR,ECOWAY,275/80R22.5,16PR,8.25,3250/3000,M,,,14.0,1012,123,https://xbri.com/products/detail/4,149,146,ECOWAY
TBR,ECOWAY,295/80R22.5,18PR,8.25,3350/3075,M,,,15.0,1044,120,https://xbri.com/products/detail/4,150,147,ECOWAY
TBR,ROBUSTO,295/80R22.5,18PR,9.0,3550/3250,L,,,19.0,1050,131,https://xbri.com/products/detail/6,152,149,ROBUSTO
TBR,ROBUSTO,315/80R22.5,18PR,9.0,3750/3450,M,,,20.0,1082,120,https://xbri.com/products/detail/6,154,151,ROBUSTO
TBR,XCURVE,295/80R22.5,18PR,9.0,3550/3250,M,,,17.0,1044,130,https://xbri.com/products/detail/10,152,149,XCURVE
TBR,XFORZA,295/80R22.5,18PR,9.0,3550/3250,L,,,23.0,1044,120,https://xbri.com/products/detail/11,152,149,XFORZA
TBR,XFORZA P1,11R22.5,16PR,8.25,3150/2900,L,,279.0,21.5,1054,~123.3,https://arquivos.licitardigital.com.br/21753_1_5c93030347315f4f73a98331ca47bd36.pdf,148,145,XFORZA P1
TBR,XFORZA P1,215/75R17.5,16PR,6.0,1700/1600,L,,211.0,15.1,767,~101.5,https://arquivos.licitardigital.com.br/21753_1_5c93030347315f4f73a98331ca47bd36.pdf,126,124,XFORZA P1
TBR,XFORZA P1,235/75R17.5,18PR,6.75,2725/2575,J,,233.0,13.0,797,~126.9,https://arquivos.licitardigital.com.br/21753_1_5c93030347315f4f73a98331ca47bd36.pdf,143,141,XFORZA P1
